"","Date","Site","N","Survivorship_StartingDensityBase_Impute100_Percent","sd","se","ci"
"1",2024-05-23,"CMAST",1,100,NA,NA,NA
"2",2024-05-30,"CMAST",19,98.9473684210526,1.38338089117151,0.317369342370624,0.666768246283247
"3",2024-05-31,"DUML",23,98.9057971014493,1.82907638484766,0.381388790652142,0.790951941333964
"4",2024-06-13,"CMAST",19,98.8157894736842,1.55644293820334,0.357072498895572,0.750181482893651
"5",2024-06-14,"DUML",23,96.9927536231884,5.24367783377451,1.09338241101356,2.267536335121
"6",2024-06-27,"CMAST",19,97.6754385964912,4.48470434916452,1.02886173945608,2.16155830478401
"7",2024-06-28,"DUML",23,98.195652173913,2.29495063541078,0.47853028703259,0.992411074453271
"8",2024-07-11,"DUML",23,98.2826086956522,2.28766718912603,0.477011583498209,0.989261476095188
"9",2024-07-12,"CMAST",19,96.8947368421053,4.95137171613534,1.13592257592313,2.38648477576428
"10",2024-07-25,"CMAST",19,95.9298245614035,4.9607458461634,1.13807314884292,2.3910029618106
"11",2024-07-28,"DUML",23,97.3478260869565,3.66629235123757,0.764474801380236,1.58542370167375
"12",2024-08-05,"CMAST",19,95.4385964912281,5.3935290807985,1.2373604322236,2.59959780378075
"13",2024-08-05,"DUML",23,97.0724637681159,3.5734804946788,0.745122191492335,1.54528884523358
"14",2024-08-23,"DUML",23,96.1231884057971,4.21853096627189,0.879624512613808,1.82422958657798
"15",2024-08-24,"CMAST",19,91.8508771929825,5.91083299701899,1.35603808979744,2.8489303102618
"16",2024-09-19,"CMAST",19,82.6228070175439,9.85306277275745,2.26044762688486,4.74902424013296
"17",2024-09-20,"DUML",22,95.5909090909091,3.80153382881955,0.810489735554415,1.68550567506864
"18",2024-10-05,"CMAST",14,79.547619047619,10.4706403879758,2.7983963537088,6.04556777091226
"19",2024-10-05,"DUML",23,95.4275362318841,4.58280329909249,0.9555805446491,1.98175275576083
